state_abbr,year_1_savings,lifetime_savings,median_bill_year_1
AL,953.7580796462303,42926.39625422677,1214.0446746980663
AR,824.6701325460422,36657.73401439347,1059.4598086838125
AZ,2038.5097470219314,91220.74714020021,2499.861880402187
CA,1774.8468100890873,81690.33988016399,2612.3481179180585
CO,1040.5750216841766,48474.006062188564,1212.6862601092787
CT,1704.960285276735,77241.03697082259,2006.0678700124627
DE,1314.8949992470855,58950.07629229314,1528.7316326540886
FL,1819.179593630243,81286.30309191514,2259.5310875291034
GA,1005.7992809332757,44843.238453884725,1324.2196042821981
IA,926.7045155615431,42964.456729831,1238.2988299651915
ID,906.0270647822244,42158.989339185064,1094.2709925677768
IL,896.5216944139831,40336.572562269714,1170.871639394329
IN,1069.3576262244276,48148.56117947505,1342.305873498405
KS,1029.747012573932,46160.50102894382,1319.1792551164958
KY,986.7749841514469,44569.04280709097,1256.8563150930536
LA,1118.5670250778571,49262.30605088218,1427.819231753515
MA,2274.135835976061,103604.935581925,2521.2679022858224
MD,1471.8114751769751,65832.46434919002,1805.6076308394713
ME,906.0210744221324,42444.87491824676,1046.6254595123862
MI,968.6165398207313,45338.57676019486,1138.1265674961421
MN,1031.3248085293421,46458.9366700285,1303.6537829638046
MO,1014.7349407461179,45316.935201367836,1379.8200418920503
MS,946.9905519117227,42131.504861247406,1253.2447111099154
MT,865.2750906381548,39989.020077370784,1110.8321494555762
NC,1061.795687957736,47840.146644779685,1344.2420943770055
ND,893.7649769568957,39650.04577868519,1315.0696214502466
NE,1063.047448641149,47413.80973606462,1425.140724878279
NH,1220.4175461211416,56654.13474029974,1445.2825046204678
NJ,1445.0224190431993,65750.01979876874,1644.0965060211477
NM,778.2358088409064,35075.92372381236,959.6752658269161
NV,2978.790626475468,139749.30335922286,3201.0006896853806
NY,1522.7443478858825,68990.19959557746,1686.843813521273
OH,1026.4850872609818,47119.1414605266,1186.2285619515021
OK,1038.8269212037987,46013.70186361739,1384.8384727479822
OR,934.1223080103853,43483.648919225736,1230.2651034638616
PA,1142.222698460688,52029.049609422895,1387.014781688706
RI,1380.3842669075661,63476.70484652653,1459.158311516699
SC,1279.7575711317409,56793.23225264094,1593.304203821453
SD,1205.3435521926212,55408.11546167482,1595.4211534508454
TN,1175.94956104095,52153.92844334298,1454.4505666300781
TX,1899.0039437779365,85858.01947205632,2179.4184226267785
UT,1230.044315147384,57355.360290985074,1351.5459723544382
VA,1102.9301894694106,49006.11165428949,1404.1779957603856
VT,865.2624330461946,39389.6490160985,1013.0015082109755
WA,851.5380877980788,38545.792598039545,1103.695520562993
WI,946.0053299727995,42781.670638640666,1161.2220007643596
WV,973.5776135775094,43781.162460927495,1164.3041698752636
WY,808.5327477620854,38205.106885211615,1070.5684238767196
